kata,terjemahan,penjelasan_arti,contoh
Mirik,Mempelintir menggunakan kaki,Turunan: Mirik padi (Memisahkan padi dari tangkainya dengan dipelintir menggunakan kaki / diinjak),
Marirang / Malirang,Korek api kayu,Turunan: Malirang (Korek api kayu),
Macces,Korek api gas,,
Mirrik,Berburu burung pipit (burung pirik),,
Masa',Yang benar lah,Turunan: Masa' lah (Yang benar lah),
Majoh,Makan,,
Masse',Payau,,
Melebe' / Ngelebe',Muka cemberut mau menangis,,
Meloros,Lewat tanpa permisi,,
Molah,Berupaya menyerupai; membuat / membikin,,
Memangdah,Emang,,
Murrik,Memeras benda,,
Majoh,Makan,,
Muntal,Melilit,,
Melarra'k,Melerai,,
Mungkal,Banyak bertumpuk-tumpuk,,
Majjo'k,Cemberut,,
Melongo,Lemas termenung,,
Macces,,,
Missak,Membuka paksa,,
Mullak,Kembali ke posisi semula,Turunan: Pullak / Pullakan (Mematahkan dengan melawan arah),
Tebelissak,Terbuka lebar,,
Muncong,Monyong,,
Montok,Padat kenyal,,
Maddam,Bepussing (berputar),,
Ngenam,Makan diwarung / jajan,,
Nampang,Membelah,,
Nampah,Minta {kasar},,
Nak Nampak,Mao minta pukul yah,,
Nek nongan,Anak paling manja,,
Ngisar,Memutar,,
Ngadar,Tahu diri,,
Ngayak,Sebuah alat yang terbuat dari bambo dan berlubang jarang,,
Ngayak,Menggetarkan dengan cara memukulkan ke tangan,,
Ngannyak,Menindih,,
Nyannyak,Jenak / tidak bergerak,,
Nappel,Berburu menggunakan ketapel,,
Ngaum,Memasukkan,,
Nakar,Mengukur isi,,
Ngela'k,Menghindar,,
Ngelebe'k,Sedih mau menangis,,
Ngakkal,Tertawa terbahak-bahak hingga tak terkontrol,,
Ngakal,Curang,,
Nogo'k (no go),Tidak kemana-mana / diam ditempat,,
Ngeraie,Pergi kekebun untuk memanen,,
Na'ang,Tak ada yang lain / satu-satunya,,
Nandor,Nanam padi,,
Ngamok (ngamuk),Marah besar,,
Ngampe'k,Bersenggama {kasar},,
Ngampa',Ngunyah,,
Ngampe',Memisahkan,,
Ninting,Membidik,,
Ngullu,Kehulu / kehutan,,
Nuggal,Membuat lubang,,
Narrah,Membuang bagian kayu sedikit demi sedikit,,
